Is there public transportation available in the block face? ,"On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ","On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ","On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?",Other thoughts or comments for Image #1,Other thoughts or comments for Image #2,Other thoughts or comments for Image #3,Other thoughts or comments for Image #4,Other thoughts or comments for Image #5,Timestamp,What kinds of establishments are there on the block face? Select all that apply.,Census Tract
1,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,"I noticed this neighborhood is 100% residential. Many of the homes are single unit houses with their own lawn, driveway, and backyard. I also noticed a handful of local election signs on the street. The street was nice to drive down because there were a lot of trees on the sidewalk and mostly stop signs/almost no traffic lights. ",The house sizes range from large to small. This house was a smaller house I noticed and I thought this neighborhood might have been here for a long time from the architecture. I think smaller houses like the one in the photo are common back in the 1950s or 1960s. ,"This neighborhood had an overall well landscaped garden. There were a lot of plants, bushes, and tree everywhere which created a scenic route to walk within the neighborhood. I did not run into many people during my observations but I could hear kids nearby and maybe a school. ",,,2018-10-24 08:20:12,,4213.0
1,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,YMCA Daycare Center,Bus stop in front of the YMCA Daycare center,People walking their young children.,,,2018-10-24 08:40:16,"Community center, Eating places/restaurants, Schools or daycare centers",4203.0
1,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,This is the entrance of Marston Campbell park. To the left of it it is a charter school called Kipp Bridge Academy. In the background I noticed the semi high project apartments(Market st.).  On the opposite side of the camera are just normal individual houses,This is a drug store that stays open 24/7.,This is  Kipp Bridge Academy. A charger school for those of the neighborhood.,This is a Rec center where boys and girls can go play at. The center is normally very busy after school as kids wait for their parent to pick them up.,A liquor store that sits right across fork school grounds.,2018-10-24 08:55:10,"Bars and alcoholic beverage services, Community center, Fast food or take-out places, Gas station, Liquor stores or Marijuana Dispensaries, Parks, Playgrounds, Schools or daycare centers",4027.0
0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,"This was the only seemingly vacant house on the block, as all of the bottom floor windows were blocked off with wooden panels. The house also looks worn out and the steps look like they have not been swept in a long time. There are cobwebs accumulated along the edges of the mailbox. ","This is a picture of the front yard of the vacant house. The grass and greenery is mostly brown and dry, and looks like it hasn't been cut or watered in a long time. There is also a single, empty bottle of what looks like to be beer on the ground. The house is surrounded by wire mesh fencing. ","This image is interesting in that the house (duplex?) itself is in quite nice condition, except there are obvious indicators that they want to be protected from intruders. Along with the ""BEWARE of DOG"" sign, there seems to be a bell attached to the wire mesh gate, which would ring if anyone tried opening the gate. There is also a security system installed as indicated by the Bay Alarm sign.",This sign was the only piece of political propaganda on the street. Measure E supports the continuation of funding for Peralta Community Colleges and the allocation of funds towards academic over administrative purposes. Measure G supports the use of funds to upgrade old classrooms and other equipment for Peralta Community Colleges. What's interesting about this is the fact that whoever chose to put this sign up chose to place it here in this neighborhood.,,2018-10-24 09:46:58,,4007.0
0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,There were multiple political signs on the block. Most were on people lawns promoting candidates they would vote for.,"This is an image of the Berkeley School Early Childhood Campus. Walking into the block it seems mostly residential but, this school is hidden. Most of the students getting out of school were waling home with their parents as they live on the block.",This was one of the two establishments on the block. It was the first thing on the block.,,,2018-10-24 09:50:25,"Auto repair/auto body shop, Schools or daycare centers",4224.0
0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,"This car was extremely different from the one included in Image #2, but it was interesting how both of them were parked on this street. This implies that there could be a variety of people from different socioeconomic backgrounds living together on this street. ",This car is a fairly new BMW as opposed to the old Mitsubishi pictured above. This simply indicates the difference in taste and access to life chances among the residents of this street.,"This depicts a comparatively older house than the house pictured in the next image. As opposed to the cars, this simply shows a slight difference among people's economic abilities on this street. ","This house seems to be recently renovated and painted, as opposed to the house in Image #3. It's interesting to see such a difference among houses that are so close to each other.",,2018-10-24 10:29:46,,4201.0
1,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,"This Asian market on 10th street is where all locals could go to find all the imported Asian goods such as spices, foods, etc. ",Instead of graffiti the block was mostly covered with colorful murals that captured symbolic images of the Asian culture. ,There was not a lot of trash in the streets most wrappers and cigarette butts were found near a gutter or under this electric box. ,,,2018-10-24 10:34:46,"Bodega deli corner-store convenience store, Eating places/restaurants, Fast food or take-out places, Parks, Playgrounds, Schools or daycare centers, Supermarkets/grocery stores",4033.0
1,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,It is a residential area and most housing types are duplex. And there are grasses and other plants between the block face sidewalk and the unit.,There are many cars parking on both sides of the road. And over half of them are Japanese cars like Honda and Toyota. The road condition is not very well as there are many visible cracks on it.,"It is a Home Alert Neighborhood sign near the 57th block.
","Near the 57th, there are some wooden pillars with some personal notices on it. And there is no special places for residents to post personal notices.",,2018-10-24 10:58:26,,4006.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,Luxury cars line the street,Trees line the block with houses set back,Some people stop and chat off the side of the road,,,2018-10-24 11:02:57,,4213.0
1,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,This Safeway Community Market and its parking lot takes up most physical space on the block. ,This is one of the three apartment buildings in this block. It has a small parking lot in the front. ,This Bank of America had a private security guard in the entrance. ,This was the only art gallery in the block. ,This US Post Office is the only government-owned establishment in this block. ,2018-10-24 11:03:10,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",4217.0
0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,This is the section of Ordway’s sidewalk under construction and is the only big project on an otherwise well-built street.,Different sections of the sidewalk along Ordway are of varying conditions. They are all generally walkable but newer portions with newer landscaping often contrast with older segments with more meagre efforts dedicated towards landscaping.,The facade of the two offices hosting two small business wrapping around the corner of Ordway and Solano. The size and color of the facade helps the businesses integrate well into the general appearance of the block.,A sign indicating that the sidewalk rehabilitation project was funded by Albany’s Sidewalk Parcel Tax.,"Ordway Street is generally, a generic street within a suburban area. It is highly residential, is well-paved, has trees lining the curbs, and is very clean, with no public eyesores.",2018-10-24 11:05:31,Professional offices (doctor dentist lawyer accountant real estate),4206.0
0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,across from an elementary school next to a duplex,"one of three duplexes, this one turned into a business. 
",shattered glass on sidewalk. this is taken on the other side of the school which is located on 10th st.,,,2018-10-24 11:06:57,"Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers, Supermarkets/grocery stores",4033.0
0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,"There was a very small amount of tagging or graffiti found in the area, this picture shows an example of tagging that was found. ","Although it may seem insignificant and random, I took a picture of this box of cans because it was the only ""trash"" found throughout the block. Other than this box of cans and a couple of wrappers here and there, the block was very much clean.   ",This photo just shows the residential area of the block. ,,,2018-10-24 11:27:42,,4203.0
1,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,The conditions of the roads indicate both past neglect and a fairly recent repaving effort.,"Near the start of the walk, high trees and fencing separate these some homes from passersby. Some large homes (single or multi-residential units unclear) can be seen. ","The roads and pavement were notably cleaner with fewer cracks than at the start of the walk. While a number of well-kept residences line the block face, there are few to no physical barriers between private property and main sidewalks.",,,2018-10-24 11:20:45,,4217.0
0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,"Cafe/bakery called Sconehendge on the corner of Shattuck and Stuart, very cute restaurant with nice front ","Baskets hanging on the parking lot gate, potentially meant to be a small library for people to put books, some trash is in the basket","private home next to the bakery parking lot, lots of trees and very nice facade ","Parking lot for the restaurant, appears to be used tires in the building and graffiti on the wall ",Medical supplies store/factory - not very pleasing to look at but the facade is clean,2018-10-24 11:23:47,"Eating places/restaurants, Supermarkets/grocery stores",4235.0
0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,Light industrial operation on the NW corner of the block. ,Residence at 949 Arlington situated next to light manufacturing lot on SW corner of the block.,Industrial building extending east on north side of the block. ,Commercial building with storefronts below and multiple dwellings above on the NE corner of block directly next to residence at 918 Arlington. ,Commercial parking lot situated between single family residences at 917 and 923 Arlington on south side of the block.,2018-10-24 11:24:40,"Fast food or take-out places, Manufacturing",4007.0
1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,This is one of the last local landmarks in Oakland ca.,There was very little trash on the block and I wanted to show it near the gate.,This is an example of small businesses and apartments in the same shared space.,The lady working as a dog walker shows the gentrification in Oakland Ca.,This was the biggest tag in the area besides the fence covering a residential home.,2018-10-24 11:24:31,"Auto repair/auto body shop, Bars and alcoholic beverage services, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate)",4007.0
0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,"I thought this movie theater was an interesting addition to the neighborhood. It is not a regular movie theater—all of the showings were of movies I have never heard of before. They were indie films that came out of the Sundance Film Festival. I thought the style of this cinema added to the expensive/wealthy aura of the neighborhood, because indie movies are an acquired taste for people who have seen them before.  
","I found this little shop really interesting because a cashew creamery is not a very common finding. I have personally never seen one before, and eating non-dairy/vegan, artisanal, made-in-shop foods is an expensive habit. Again, this adds to the wealthy aura of the neighborhood. 
","Many of the houses had signs such as these standing in front of the house, which indicate their political preferences/leanings. The members of this community are not afraid to voice their political opinion, either because they feel safe in the environment because their neighbors have the same opinions or they are strong-willed and determine people. However, it seems to be the first case because most of the signs are for more liberal causes. 
",,,2018-10-24 11:32:03,Eating places/restaurants,4202.0
0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Gated residential home with car parked in driveway. Has political sign posted in front. ,"Street winding through neighborhood. The car at the end was the only one parked in the street. Also, on the left a very well-made gated house is pictured. Note the clean street.","End of street, cross street is pictured. Observed the trees dotted at edges of sidewalk. Individual at end, most likely resident.",Gated house. This is the address listed on the coding sheet. ,,2018-10-24 11:38:30,,4212.0
1,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,Public park in residential area; elementary school aged children present with adults learning a sport,Mural on the back of a small grocer,Tree lined block,Single family homes,,2018-10-24 11:39:04,"Community center, Playgrounds, Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers, Supermarkets/grocery stores",4006.0
0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,Here we see two political signs in the ground. There were several other homes on the block that had similar signs in their windows or in their yards. This likely communicates a politically-active community. ,"This ice cream shop, which sits on the corner of Kains Ave. and Solano Ave. opened in the past few years. It used to be a small burger restaurant that looked as if it was falling into disrepair. Outside seating, lighting, and planted trees are also new features.","The YMCA, which includes a gym and basketball courts inside, was renovated recently. It now has a new facade, benches along side the sidewalk, and newly planted trees. It only serves adults (the Youth YMCA is located on Solano a few blocks East) and does not have a parking lot.",,,2018-10-24 11:47:43,"Community center, Eating places/restaurants",4205.0
0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,Cute little fence,windows visible,,,,2018-10-24 11:49:08,,4005.0
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Halloween decorations in yard of home towards middle of the block,Landscaped yard area,Street view from Castro St. and Madison St. ,Shopping cart on corner of Castro and Madison,,2018-10-24 11:51:33,,4203.0
0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,"Residence on North face of the block, Chevron is immediately to the left","Stoop on the same residence, moderate litter","South Face, fire station on left, residence to the right",,,2018-10-24 12:02:53,"Fire station, Gas station",4027.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,The only graffiti spotted around the block was behind an almost empty parking lot and there was also a pile of trash. This was the only area that seemed dirty or unkept compared to the rest of the block. ,"This appears to be a new building, an obvious sign of gentrification in Oakland. ","This picture displays the decorations for Dia De Los Muertos, there are some Spanish words in the decoration, if you look closely. ",,,2018-10-24 12:05:05,"Bars and alcoholic beverage services, Eating places/restaurants",4031.0
1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,2018-10-24 12:05:41,Post office,4202.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,These are all commercial stores ,There is a trash can on the side walk and its not over flowing or trash around it ,This seems like a government building that would provide aid. A part of the inner city lifestyle of Oakland prior to its gentrification process. There is also a photo gallery that is being made right under that building. ,This is theater has been renovated but its original features have been kept the same. ,There is easy public transit access on this block and also a strategically placed cafe as you come out of the bart station. ,2018-10-24 12:11:54,"Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Eating places/restaurants",4028.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,"A biker can be seen in this photo, where in some communities it may be dangerous to go out. There is also a ""slow down for children"" sign in the street, and it can be observed that there are many energy efficient cars on this street. ","This house large house has a political sign in the front, as well as some Halloween decorations. Other surrounding streets do not have halloween decorations. ","This is the only abandoned house on the street. It is not being renovated, but it is large and even has a tesla in front of it. ",This depicts a sign on a tree calling for a neighborhood meeting. It is likely attached to the neighborhood watch. ,,2018-10-24 12:28:10,,4206.0
1,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,"In most of the houses on my block, there were signs that conveyed a political message or that of social activism. It was really interesting because I have never seen so many signs concentrated in one area. There were 7 signs that I recorded, exactly like the one in the picture. Others found included, March for Our Lives, Resist Fear, Love is Love, and Defend Life.","As mentioned in my fieldwork notes, there were certain areas of my block that had very modern and new houses such as the one in the picture. It was interesting to see how it contrasted with the other houses that were smaller and less renovated. This observation/scene also made me realize that the houses in general are very compact and close to each other.","I think this particular sign is important because of the bottom line where it says “We look out for each other!” I have seen neighborhood watch signs like such in other neighborhoods, including my own, but they never have that quote on them. This one does, and it was the first thing I noticed. This is significant for the neighborhood itself, as it represents how the community is and how they interact/rely on one another.",,,2018-10-24 12:30:08,Liquor stores or Marijuana Dispensaries,4006.0
1,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,"It demonstrated what the neighborhood environment was, and how everyone tried to maintain it through a public art display.","The corner liquor store had signed 'the pledge', which tried to maintain the peace and safety of the neighborhood through responsible management.","The liquor store also had a sign accepting EBT, even though the neighborhood appeared to be well-off.",A sign advertising tennis summer camps to children,An old barber store that seems to be closed down and with no for sale/rent sign apparent,2018-10-24 12:38:50,Liquor stores or Marijuana Dispensaries,4010.0
0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,The entrances of the eating establishments/businesses are on Cedar and not Shattuck as the addresses indicate (except Crepevine). ,"The directory of the businesses and practices, most are located above/behind the restaurants.",The side of Safeway Community Market.,The only residential units on the block. ,One of the very few graffiti pieces found on the block. All the visible graffiti was small in size.,2018-10-24 12:45:11,"Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",4217.0
1,2.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,Signs showing the residents' political attitudes,Heavy task: one father with four kids,The horrible Halloween house,The building slides,,2018-10-24 12:49:48,,4205.0
1,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,2018-10-24 13:13:13,,4224.0
0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,This was the only type of trash on the street. It was a result of some remodeling on one of the houses. ,This house is one of 4 on the block being renovated. It is going under the most construction of all them. The rest are light or in the rear/unseen parts of the homes.,This is a 'park' in the neighborhood. I is just a big rock you can climb. The view at the top is great. Take note of the sign by the left of the rock which has the rules for the park.,"I put that some buildings on the block had gates. This an example of that, most serve a greater purpose as decoration than security. These were intimidatingly beautiful homes.",Many homes either had this sign in front of it or another one in front for a different security company.,2018-10-24 15:45:29,,4212.0
1,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,The abandoned automotive sound shop.,The print graffiti on the western face of the block.,The Equinox Gym with condos above it. Highlights the disparity in development. ,,,2018-10-24 14:33:21,"Auto repair/auto body shop, Community center",4235.0
1,3.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,It's typical type housing in Oakland without too much care,"It's an elementary school in the block. Well-designed, but I guess no security nearby","It's huge fence around the Hoover Elementary school. Inside of this, there are lots of trash.","877 Brockhurst St, Oakland, CA 94608",,2018-10-24 14:52:09,"Liquor stores or Marijuana Dispensaries, Schools or daycare centers, Supermarkets/grocery stores, Warehouses",4014.0
1,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,High barbed wire fencing divides substation from apartment units which appear hidden in the back of commercial buildings.,"Building for Golden Gate Sotheby's International Realty which took up most space here. One man kept looking at me from the window and seemed uncomfortable, which made me uncomfortable. Furniture, computers, and what looks to be a meeting room are all visible through the windows.","Vacant space with faded sign from former commercial tenant, which appears to be Magnolia Salon de Beaute. Leasing sign is posted. Windows show glimpses inside of very empty room with no signs of construction.","Taken from around the side of Topaz Salon, the block abruptly cuts into a tunnel for traffic. More wire fencing is shown, but not as high and does not appear to be barbed. Pathway enables pedestrian and cyclist access of tunnel.","Took a panorama outside vacant storefront lot to show full surroundings. I am confused by this area, because from where I am standing it appears as though  attempts have been made to establish upscale boutiques, but the surrounding area appears to comprise lower middle-class housing.",2018-10-24 15:26:58,Professional offices (doctor dentist lawyer accountant real estate),4214.0
0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,Typical duplexes lining the street.  Notice one residence resides above the other.,A pile of goods outside a residence free to any takers.,Trees and cars line the litter-free street.,,,2018-10-24 15:27:40,Auto repair/auto body shop,4239.01
1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Shows people have a place to post their ads.,Shows that cigarettes are being sold in the block.,Shows multiple restaurants including a coffee shop and ice cream shop.,Shows a recreation center in the area.,Shows there is a bank in the area.,2018-10-24 15:52:02,"Banks or credit unions, Eating places/restaurants, Gas station, Supermarkets/grocery stores",4213.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,"many trees, plants ","Many students were over there, securities were there.","The roadway is very clean and no trashes, broken glasses found. ","you can find good transportation here, many bicycle, buses.. etc",very clean trashcan overall,2018-10-24 16:37:53,"Banks or credit unions, Community center, Eating places/restaurants, Schools or daycare centers",4030.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,This image is a good visualization of the sidewalk in the street block. It is very well maintained with trees on either sides and most importantly no trash of any kind. The fence on the right as well is both functional as a barrier but also decorartive as it looks very well maintained and adds to the aethstic of the property. ,"This image shoes the well maintained street as well how organized and well taken of everything is. All cars are parked amply far from the street and the trash is in its designated position. The building on the other side of the street also sets the stage for the rest of the houses on the street, looking grandiose. ","The reason I chose this image is because of the importance of cleanliness of the people living on this street. Looking at the entrance to the garage, although there are leaves in the driveway the sidewalk remains completly clear. It really seems as thought the citizens of this street treat cleaninless as a top priority. Also it is important to notice the lights along the street as they do not look cheap and must be quite expensive to maintain. ",,,2018-10-24 16:57:59,,4214.0
1,3.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,Homeless Tents and Rentable Electric Scooter,Vacant Lot,Street Art,,,2018-10-24 17:20:33,"Auto repair/auto body shop, Manufacturing",4014.0
0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,"This 15 mph/speed bump sign shows that speeding has been a problem in the past here. Found it very interesting to see this sign on a block that is between two main roads. 
","This house along with several others is under renovation. It is also a multi-family house, meaning that many people are going to benefit from this housing once it is available. ","
This front yard is decorated for Halloween and also has a sign that reads, “Drive like your kids live here.” This tells me that there are children living in this house. The neighborhood does not seem to be the most child friendly however, due to the businesses that are in the area and lack of child friendly businesses. ",,,2018-10-24 18:30:31,Auto repair/auto body shop,4010.0
1,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,Old beauty supply store with pull-down metal security blinds and artwork on all sides of the building.,Unmarked building with a painted mural across the entire face of the building; trees that line some of the street visible.,Modern office building that is under renovation.,"Well kept, modern apartment buildings; note that the entrances to the units are all raised from the street.",,2018-10-24 19:01:01,Professional offices (doctor dentist lawyer accountant real estate),4028.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,It is easy to find such a decorated house with a great garden in this area.,Houses facing to Oxford Street have big space of garage behind them.,There is only one building which is not for housing. This is a church in this block.,"Each garden of this block has a different concept from other houses in this block. However, we can say many houses have gardens usually in this block.",I asked a lady to allow me to take a picture. Many walkers of this block go around with their pets such as dogs. There are no homeless people and teenagers.,2018-10-24 19:47:23,,4217.0
0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,"A higher socioeconomic status can be observed as waste is divided amongst compost, landfill, and recycling. These are generally added county fees that not everyone can afford. ","
This area also leaves old furniture and objects to be taken for free. There’s a high regard for reusing items here.","Most of the cars parked here are Hondas, Toyotas, and other vehicles of similar price range and date. Signifying that most individuals are of middle-class. ",,,2018-10-24 21:54:00,,4224.0
1,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,civic center: No one really present coming in and out of the building ,Berkeley High School: Kept in good condition ,Berkeley Inn ,Near Berkeley High School - minimum damage ,,2018-10-24 22:29:18,"Community center, Parks, Post office, Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers",4229.0
1,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,It is a cool recraatio area close to the block from where i took pictures of where people can practice rock climbing. I thought it was very unique to have in a residencial area.,The neiborhood I visited was pretty clean and had nice houses. So this picture is to show that. ,All the houses had good frontyard space.,,,2018-10-24 23:25:18,"Fire station, Gas station, Parks, Playgrounds",4212.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,This house is best example to know difference between Fulton Street and Wheeler Street,It is a place to rental a bicycle. This is an evidence that this street is safe compare to another street and low risk that the bike is stolen by somebody.  ,"I thought this house is in the middle of renovation because of steel framing in the yard, but it was just object according to the google map. Also it is only a dwelling which is decorating for Halloween on this street.",,,2018-10-25 03:34:11,,4239.01
0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,"Parking lot in the area, shows the more run down side ",Under the run down apartment building ,"mural, nice restaurant, and then a building under renovation",Sign advertising community events in area at establishment ,,2018-10-25 14:31:03,"Eating places/restaurants, Liquor stores or Marijuana Dispensaries",4031.0
1,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,2018-10-29 12:40:23,,4214.0
1,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,"The parking lot once utilized by customers of the automotive sound and appliance shop is the home of about 50 vehicles that a dealer down Shattuck Avenue is thriving on. 
","Wick’s appliance shop has been abandoned due to the rising market of internet purchases. 
","The Parker apartments on Shattuck Avenue features 20 luxurious apartment units with an Equinox gym sitting below it.  
",,,2018-10-29 15:00:33,"Auto repair/auto body shop, Eating places/restaurants, Manufacturing",4235.0
0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,5.0,We see a playground behind high fences in the elementary school.,"From the street, there is a view of a rundown housing area that looks working class and much less looked after than the houses on the street.","The front of the school has high fencing all around to keep people out, but has a cute front with greenery around.","Here we see the area across the street from the school, which is well kept houses, some slightly run down despite their cleanliness, surrounded by lots of greenery and front yards.",We see RV's that seem to have people living in them parked right outside the school.,2018-10-29 15:54:25,"Playgrounds, Schools or daycare centers",4014.0
1,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,"Backside of Cornell Elementary, gates around the playground, recess area but there is no gates around the front of the school","House for sale on Talbot Ave, there are flyers on the sign highlighting the house",Pumpkins for sale on Talbot to raise funds for Cornell Elementary PTA,,,2018-10-29 17:46:32,"Community center, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Schools or daycare centers",4205.0
1,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,"Although there were a few graffiti found on buildings and on the floor. There was writing that seem to be a poem that had a meaning behind it, not just a simple graffiti. ",This is one of the two gates I saw with a sign that was hard to read. Although it looks like a safe community there are still gates like this around the block. ,"Although there are some apartments and graffiti visible, there is the Oakland museum right in front of this place which is surprising. Near Museums there are usually nice areas and not graffiti. ","On crossing the cross street to Fallon Street, there we see Laney college. So 10th street is surrounded by a museum and a city college creating a nice neighborhood and moderately busy.  Surprisingly, there is a lot of trash and broken glass on the streets. ","these were a few of the cigarets found near the trees nearby the area. Although this looks like a calm community, but still were a hand full of people that were homeless around there. ",2018-10-29 19:54:05,"Community center, Schools or daycare centers",4033.0
